C,degree,gamma,kernel,mean_test_Accuracy,std_test_Accuracy,mean_test_Precision,std_test_Precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_f2,std_test_f2,mean_test_f0.5,std_test_f0.5
5.0,,0.1,rbf,0.8648154025177192,0.03775198349281897,0.864282945736434,0.03165527866355927,0.8977785372522215,0.051806138676397155,0.8799875143961164,0.034543069597291656,0.832019971191132,0.042294172524602366,0.8590817002499518,0.05042491780400495
5.0,2.0,0.5,poly,0.8604675764307628,0.029493616456853684,0.8626365574869836,0.01935101441706085,0.8899521531100479,0.045271603650778265,0.8756246280406442,0.0280312537514828,0.8305036769243832,0.025785910111610542,0.8521264931603417,0.04200805970577215
5.0,,0.5,rbf,0.8691632286046758,0.016065995332368434,0.8743042226220498,0.011725902174924469,0.8924812030075188,0.03223889710453888,0.8829215316042477,0.015547501903397851,0.844709097028695,0.014401854583822687,0.8590634641901918,0.027138562815750913
5.0,2.0,1.0,poly,0.8648365598222787,0.034452326981829116,0.8729693683480588,0.025301334617822243,0.8846889952153111,0.04440103736141954,0.8784883978284196,0.03212904489559305,0.8430531745114228,0.03279915646283519,0.8525509670535814,0.044738694919881423
5.0,,1.0,rbf,0.8619168517930815,0.0246914129030133,0.8650925925925925,0.018512447564545738,0.8898838004101162,0.039075780484232124,0.8768736541697297,0.02298682282527849,0.833233647284229,0.024056863192367328,0.8527602672220596,0.036291891825031494
5.0,3.0,3.19,poly,0.8080715116894108,0.04305581135230287,0.8330104642634455,0.05360459019070313,0.8215652768284348,0.03564060792161513,0.8263788588939249,0.036020062441891196,0.7883876185916993,0.06581885920246687,0.7822673611234421,0.045450682856528084
5.0,3.0,0.1,poly,0.867745689199196,0.03439473707023804,0.8571628762685674,0.026110502884302316,0.9135338345864662,0.038116667234997244,0.8843164279484121,0.030280409141717014,0.8244341828082427,0.036607477904684424,0.8680407650646721,0.045204907144931285
5.0,3.0,0.5,poly,0.8429810642124194,0.020119962574284042,0.8495627583481508,0.018563475255807517,0.8715311004784689,0.03496098614762023,0.8599137255095226,0.01897589430529965,0.8128464978039351,0.024924879828722477,0.8301638958334602,0.028984262551156634
5.0,3.0,1.0,poly,0.8197926584153178,0.034593486955158737,0.8302202290649017,0.025522577759564336,0.8479494190020507,0.041129558149439194,0.8388180338252841,0.03160837357555951,0.7890987515741447,0.03394311688667478,0.8024360946004327,0.04441825846694094
5.0,5.0,3.19,poly,0.793557600761663,0.02886072715314409,0.8137926755162999,0.04674357183366214,0.8189336978810664,0.038299567661905135,0.8148714860638471,0.022865349636716624,0.762943363065213,0.05857493201570809,0.7700266511955554,0.031113007823953036
5.0,5.0,0.1,poly,0.85176134560457,0.032551487716251465,0.8300051796101311,0.026901370249421158,0.9213602187286398,0.029603585115666724,0.8732445581288282,0.027346012022085628,0.7868305734027012,0.03987737637643021,0.8593733570825893,0.04154940896605867
5.0,5.0,0.5,poly,0.8197397651539194,0.04018747715620875,0.8304423681534866,0.029034700414628096,0.8480177717019822,0.058132514609669506,0.8383732032856228,0.03848173374821506,0.7889132619780818,0.039325532041799796,0.8035768462615807,0.052710675675011795
5.0,5.0,1.0,poly,0.7877922352692266,0.03733308157811377,0.8113923848609211,0.04914655391147113,0.8085782638414217,0.046501115911918064,0.8085771669105002,0.03248334023313349,0.7611099085291959,0.060563279207043665,0.7623552744288208,0.0414474259293229
10.0,2.0,3.19,poly,0.8488416375753729,0.02565148460527357,0.8560681993193731,0.012739779585091957,0.874231032125769,0.04654801300374465,0.8644594503717771,0.025681097526896363,0.8218740423815474,0.017043971503270135,0.8366553388836537,0.038860866488581385
10.0,,3.19,rbf,0.8197609224584788,0.039304919551583765,0.8077755131494302,0.02204208388978075,0.8847231715652768,0.058375626849699526,0.8439847657586126,0.036446284850920156,0.7572186280445544,0.031232573362154212,0.8185208278258062,0.05907933632755635
10.0,2.0,0.1,poly,0.867745689199196,0.03253952171849254,0.8647807812342695,0.02728403459513151,0.9030416951469583,0.043950387418744116,0.8829919079367203,0.02962040014150175,0.833217134356602,0.03669764241962371,0.8633826207038184,0.04348538840139461
10.0,,0.1,rbf,0.8619168517930815,0.02593603368716628,0.8562584453515164,0.020613663238501445,0.9030416951469583,0.04549879898835084,0.878336132755367,0.02433033585298186,0.8222002722418204,0.027475952705941668,0.8596383844023621,0.040417604301926306
10.0,2.0,0.5,poly,0.857569025706125,0.02916744502557326,0.8655627356634124,0.016895865612822143,0.8794600136705399,0.04654645722026064,0.8719792718423232,0.02828918694012765,0.8338175855117278,0.022875222248708166,0.8453892096292137,0.04179372300531901
10.0,,0.5,rbf,0.8648259811699989,0.021781406510651143,0.8752222653838718,0.0089608630183743,0.8820915926179085,0.04621875934986341,0.8779435246602016,0.022534794968725822,0.8452663620063653,0.010815705954957039,0.8520645100140083,0.036447541762750855
10.0,2.0,1.0,poly,0.8561303289960858,0.03145054850042691,0.867396319837263,0.021269679365198545,0.8742652084757347,0.05262219071002483,0.8700480420248953,0.031247958214912087,0.8353899877670894,0.026906525207507234,0.8424661645044959,0.04403001873476323
10.0,,1.0,rbf,0.8546916322860468,0.016203042361907265,0.8543770446421048,0.015659330397541173,0.8898838004101162,0.03333772870304655,0.8713079321444935,0.015713425135802095,0.8195447213645451,0.019320590132126548,0.8473718768971643,0.02690483950188453
10.0,3.0,3.19,poly,0.8037448429070138,0.03133306088954794,0.827807764942683,0.044077643502209954,0.8189678742310322,0.028779571307082506,0.8225164674063581,0.025428674574292164,0.7825899084937102,0.054219945855838045,0.7782366491609058,0.03197515065514649
10.0,3.0,0.1,poly,0.8721040939384324,0.03504579934659273,0.8601513473153837,0.028575284381909292,0.9187969924812031,0.0378823526726635,0.888328068385488,0.0306610650376108,0.828204710218795,0.039510413372116804,0.8738616782907258,0.045278049817294386
10.0,3.0,0.5,poly,0.8444620755315773,0.013613028026410547,0.8465184749839466,0.01580178798670619,0.8793916609706084,0.030880256563382034,0.8621553881328389,0.01311352557377842,0.809014169041274,0.02062454181518961,0.8346003990165853,0.02295001711155941
10.0,3.0,1.0,poly,0.8110441129800063,0.03697220962274493,0.8262063129085113,0.03203684543404214,0.8348257006151745,0.038460254872803766,0.8303067875010349,0.03308065545306502,0.7835415388578302,0.04216657276565732,0.7901499374443,0.044159818706432465
10.0,5.0,3.19,poly,0.793557600761663,0.02886072715314409,0.8137926755162999,0.04674357183366214,0.8189336978810664,0.038299567661905135,0.8148714860638471,0.022865349636716624,0.762943363065213,0.05857493201570809,0.7700266511955554,0.031113007823953036
10.0,5.0,0.1,poly,0.8604569977784831,0.03417006868700877,0.8419889025254534,0.029261059649942904,0.9213602187286398,0.029603585115666724,0.8798458763928142,0.02883812086753258,0.8035592226421349,0.04237578801248812,0.8659441599219788,0.04209963937480571
10.0,5.0,0.5,poly,0.8124722310377657,0.044648725554701924,0.8221466473048752,0.03994682727241933,0.845317840054682,0.05011858889422033,0.83302084866601,0.03990800612810871,0.7770889453216545,0.05377485844704001,0.795250987038034,0.05413150835308497
10.0,5.0,1.0,poly,0.7877604993123877,0.035529464759314046,0.8087334434528485,0.05064283008595336,0.813773069036227,0.04366640963608176,0.8096863089370221,0.029332673393539857,0.7563283422101799,0.0637218087606764,0.7634728514765285,0.039483681205264375
20.0,2.0,3.19,poly,0.8474346768221729,0.02441017079527979,0.8594482249928619,0.012364604286710074,0.8663704716336295,0.04551809987048472,0.8622927755404108,0.02520296298805418,0.8258033228569444,0.015348886188130616,0.8322353076183326,0.03587298530182085
20.0,,3.19,rbf,0.8183010684438804,0.038135467781194504,0.8091079930977412,0.023712079509356797,0.8794600136705399,0.05782610135844462,0.8421709663255307,0.035432510077162006,0.7588869860453492,0.03398670097911503,0.8149308374361196,0.056588538094892483
20.0,2.0,0.1,poly,0.8692055432137945,0.03171659905408758,0.8669671562627499,0.02612869145615001,0.9030758714969241,0.045325803527042845,0.8840805717998702,0.029222761104182357,0.8359742942505163,0.03511126217577358,0.8646358630093653,0.04314421924603421
20.0,,0.1,rbf,0.8677245318946365,0.02572030000820126,0.859385992295605,0.02160008814243229,0.9109022556390978,0.040604984534728265,0.8838646598414828,0.02351923226740519,0.8265455564667169,0.028961754315009195,0.8673968302091175,0.03805947804087009
20.0,2.0,0.5,poly,0.8648365598222787,0.034452326981829116,0.8729693683480588,0.025301334617822243,0.8846889952153111,0.04440103736141954,0.8784883978284196,0.03212904489559305,0.8430531745114228,0.03279915646283519,0.8525509670535814,0.044738694919881423
20.0,,0.5,rbf,0.8531894636623296,0.014130901785860423,0.8540288588095741,0.014989068289206112,0.8872522214627478,0.03122592682798881,0.8698681314192818,0.013748428381939147,0.8189219813768306,0.01920957667823094,0.8448378615609258,0.02389572857384462
20.0,2.0,1.0,poly,0.854681053633767,0.02696177850373804,0.8687675661950373,0.012172572659964676,0.8690020505809979,0.04956461607058145,0.8682199228290545,0.027657721122175953,0.8370956352084147,0.016782007191170605,0.8390537912220472,0.039828810683819056
20.0,,1.0,rbf,0.8459748228075743,0.031397201161431985,0.8535051671622345,0.017880702040519194,0.8715994531784006,0.05401405336288034,0.8617331126436097,0.030960048969703134,0.8186536129573045,0.022653432739009674,0.833982308324182,0.04671161515094907
20.0,3.0,3.19,poly,0.8081244049508094,0.03432495717840095,0.8328083246491407,0.04674175875202444,0.8216336295283663,0.028669537573894625,0.8263450342207538,0.027755811872641475,0.7884984147317217,0.05791662352377378,0.7824954605571944,0.03510562375499016
20.0,3.0,0.1,poly,0.8720829366338728,0.029953218090289262,0.8584973704581549,0.025659073090340868,0.9213943950786054,0.0337901971360211,0.8886128785120702,0.026129932113591152,0.8259190507036107,0.03540739374087383,0.87521011866686,0.03903523659461098
20.0,3.0,0.5,poly,0.8270390352269121,0.021175148510377474,0.8291325748465432,0.011619116545321025,0.8663021189336979,0.03577410146890484,0.8470104178237285,0.02057894848448193,0.7872249587096051,0.015806755975918244,0.8155265466105265,0.03175601248369731
20.0,3.0,1.0,poly,0.8139320850523644,0.052308065006710903,0.8351789257612042,0.04241518479582708,0.8269993164730007,0.0556133965673265,0.8309187495549384,0.048199416682467314,0.7958495036768893,0.053270031920453924,0.7905386213846242,0.06186438417623049
20.0,5.0,3.19,poly,0.793557600761663,0.02886072715314409,0.8137926755162999,0.04674357183366214,0.8189336978810664,0.038299567661905135,0.8148714860638471,0.022865349636716624,0.762943363065213,0.05857493201570809,0.7700266511955554,0.031113007823953036
20.0,5.0,0.1,poly,0.8560774357346874,0.03330075053587475,0.8427367609974784,0.03118339714191212,0.9108680792891318,0.029994415552102843,0.8753195273163825,0.028307657310715054,0.8040890740212949,0.04347005714490977,0.8572495544487317,0.03974259883131337
20.0,5.0,0.5,poly,0.8095631016608484,0.041495626234100164,0.8255714681293156,0.043307384791149296,0.8347915242652084,0.04968604257208706,0.829169895270694,0.03671953408450812,0.7803314738778727,0.05596362891319208,0.7891801869947195,0.04995881503443063
